id,parent_id/id,tax_ids/id,code,name,type,user_type/id,reconcile,note
pcg_Classes_6_et_7,pcg_0,,Classes 6 et 7,Comptes de gestion,View,account.data_account_type_view,False,
pcg_Classe_6,pcg_Classes_6_et_7,,Classe 6,Comptes de charges,View,account.data_account_type_view,False,
pcg_60,pcg_Classe_6,,60,Achats(sauf 603),View,account.data_account_type_view,False,
pcg_601,pcg_60,tva_acq_normale,601,Achats stockés - Matières premières (et fournitures),View,account.data_account_type_view,False,Destinés à la production ou revente
pcg_6011,pcg_601,tva_acq_normale,6011,Matières (ou groupe) A,Regular,account.data_account_type_expense,False,
pcg_6012,pcg_601,tva_acq_reduite,6012,Matières (ou groupe) B,Regular,account.data_account_type_expense,False,
pcg_6017,pcg_601,,6017,"Fournitures A, B, C, ..",Regular,account.data_account_type_expense,False,
pcg_602,pcg_60,tva_acq_normale,602,Achats stockés - Autres approvisionnements,View,account.data_account_type_view,False,Destinés à la production ou revente
pcg_6021,pcg_602,tva_acq_normale,6021,Matières consommables,View,account.data_account_type_view,False,
pcg_60211,pcg_6021,tva_acq_normale,60211,Matières (ou groupe) C,Regular,account.data_account_type_expense,False,
pcg_60212,pcg_6021,tva_acq_normale,60212,Matières (ou groupe) D,Regular,account.data_account_type_expense,False,
pcg_6022,pcg_602,tva_acq_normale,6022,Fournitures consommables,View,account.data_account_type_view,False,
pcg_60221,pcg_6022,tva_acq_normale,60221,Combustibles,Regular,account.data_account_type_expense,False,
pcg_60222,pcg_6022,tva_acq_normale,60222,Produits d'entretien,Regular,account.data_account_type_expense,False,
pcg_60223,pcg_6022,tva_acq_normale,60223,Fournitures d'atelier et d'usine,Regular,account.data_account_type_expense,False,
pcg_60224,pcg_6022,tva_acq_normale,60224,Fournitures de magasin,Regular,account.data_account_type_expense,False,
pcg_60225,pcg_6022,tva_acq_normale,60225,Fournitures de bureau,Regular,account.data_account_type_expense,False,
pcg_6026,pcg_602,tva_acq_normale,6026,Emballages,View,account.data_account_type_view,False,
pcg_60261,pcg_6026,tva_acq_normale,60261,Emballages perdus,Regular,account.data_account_type_expense,False,
pcg_60265,pcg_6026,tva_acq_normale,60265,Emballages récupérables non identifiables,Regular,account.data_account_type_expense,False,
pcg_60267,pcg_6026,tva_acq_normale,60267,Emballages à usage mixte,Regular,account.data_account_type_expense,False,
pcg_603,pcg_60,tva_acq_normale,603,Variation des stocks (approvisionnements et marchandises),View,account.data_account_type_view,False,Utilisé lors des inventaires
pcg_6031,pcg_603,tva_acq_normale,6031,Variation des stocks de matières premières (et fournitures),Regular,account.data_account_type_expense,False,
pcg_6032,pcg_603,tva_acq_normale,6032,Variation des stocks des autres approvisionnements,Regular,account.data_account_type_expense,False,
