1011,Capital souscrit - non appelé
1012,Capital souscrit - appelé non versé
10131,Capital non amorti
10132,Capital amorti
1018,Capital souscrit soumis à des réglementations particulières
1041,Primes d'émission
1042,Primes de fusion
1043,Primes d'apport
1044,Primes de conversion d'obligations en actions
1045,Bons de souscription d'actions
1051,Réserve spéciale de réévaluation
1052,Écart de réévaluation libre
1053,Réserve de réévaluation
1055,Écarts de réévaluation (autres opérations légales)
1057,Autres écarts de réévaluation en France
1058,Autres écarts de réévaluation à l'étranger
10611,Réserve légale proprement dite
10612,Plus-values nettes à long terme
1062,Réserves indisponibles
1063,Réserves statutaires ou contractuelles
10641,Plus-values nettes à long terme
10643,Réserves consécutives à l'octroi de subventions d'investissement
10648,Autres réserves réglementées
10681,Réserve de propre assureur
10688,Réserves diverses
107,Écarts d'équivalence
108,Compte de l'exploitant
109,Actionnaires: capital souscrit - non appelé
110,Report à nouveau (solde créditeur)
119,Report à nouveau (solde débiteur)
120,Résultat de l'exercice (bénéfice)
129,Résultat de l'exercice (perte)
1311,État
1312,Régions
1313,Départements
1314,Communes
1315,Collectivités publiques
1316,Entreprises publiques
1317,Entreprises et organismes privés
1318,Autres
138,Autres subventions d'investissement (même ventilation que celle du compte 131)
13911,Etat
13912,Régions
13913,Départements
13914,Communes
13915,Collectivités publiques
13916,Entreprises publiques
13917,Entreprises et organismes privés 
13918,Autres
1398,Autres subventions d'investissement (même ventilation que celle du compte 1391)
1423,Provisions reconstitution des gisements miniers et pétroliers
1424,Provisions pour investissement (participation des salariés)
1431,Hausse des prix
1432,Fluctuation des cours
144,Provisions réglementées relatives aux autres éléments de l'actif
145,Amortissements dérogatoires
146,Provision spéciale de réévaluation
147,Plus-values réinvesties
148,Autres provisions réglementées
1511,Provisions pour litiges
1512,Provisions pour garanties données aux clients
1513,Provisions pour pertes sur marchés à terme
1514,Provisions pour amendes et pénalités
1515,Provisions pour pertes de change
1516,Provisions pour pertes sur contrats
1518,Autres provisions pour risques
153,Provisions pour pensions et obligations similaires
154,Provisions pour restructurations
155,Provisions pour impôts
156,Provisions pour renouvellement des immobilisations (entreprises concessionnaires)
1572,Provisions pour gros entretien ou grandes révisions 
1581,Provisions pour remises en état
161,Emprunts obligataires convertibles
163,Autres emprunts obligataires 
164,Emprunts auprès des établissements de crédit
1651,Dépôts
1655,Cautionnements
1661,Comptes bloqués
1662,Fonds de participation
1671,Emissions de titres participatifs
1674,Avances conditionnées de l'État
1675,Emprunts participatifs
1681,Autres emprunts
1685,Rentes viagères capitalisées
1687,Autres dettes
16881,Sur emprunts obligataires convertibles 
16883,Sur autres emprunts obligataires
16884,Sur emprunts auprès des établissements de crédit
16885,Sur dépôts et cautionnements reçus
16886,Sur participation des salariés aux résultats
16887,Sur emprunts et dettes assortis de conditions particulières
16888,Sur autres emprunts et dettes assimilées
169,Primes de remboursement des obligations
171,Dettes rattachées à des participations (groupe)
174,Dettes rattachées à des participations (hors groupe)
1781,Principal
1788,Intérêts courus
181,Comptes de liaison des établissements
186,Biens et prestations de services échangés entre établissements (charges)
187,Biens et prestations de services échangés entre établissements (produits)
188,Comptes de liaison des sociétés en participation
2011,Frais de constitution
20121,Frais de prospection
20122,Frais de publicité
2013,"Frais d'augmentation de capital et d'opérations diverses (fusions, scissions, transformations)"
203,Frais de recherche et de développement
205,"Concessions et droits similaires, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires"
206,Droit au bail
207,Fonds commercial
208,Autres immobilisations incorporelles
2111,Terrains nus
2112,Terrains aménagés
2113,Sous-sols et sur-sols
21141,Carrières
21151,"Ensembles immobiliers industriels (A, B, ...)"
21155,"Ensembles immobiliers administratifs et commerciaux (A, B, ...)"
211581,"Affectés aux opérations professionnelles (A, B, ...)"
211588,"Affectés aux opérations non professionnelles (A, B, ...)"
2116,Compte d'ordre sur immobilisations
212,Agencements et aménagements de terrains (même ventilation que celle du compte 211)
21311,"Ensembles immobiliers industriels (A, B, ...)"
21315,"Ensembles immobiliers administratifs et commerciaux (A, B, ...)"
213181,"Affectés aux opérations professionnelles (A, B, ...)"
213188,"Affectés aux opérations non professionnelles (A, B, ...)"
2135,Installations générales agencements aménagements des constructions (même ventilation que celle du compte 2131)
21381,Voies de terre
21382,Voies de fer
21383,Voies d'eau
21384,Barrages
21385,Pistes d'aérodromes
214,Constructions sur sol d'autrui (même ventilation que celle du compte 213)
21511,Sur sol propre
21514,Sur sol d'autrui
21531,Sur sol propre
21534,Sur sol d'autrui
2154,Matériel industriel
2155,Outillage industriel
2157,Agencements et aménagements du matériel et outillage industriels
2181,Installations générales agencements aménagements divers
2182,Matériel de transport
2183,Matériel de bureau et matériel informatique 
2184,Mobilier
2185,Cheptel
2186,Emballages récupérables
2312,Terrains
2313,Constructions
2315,Installations techniques matériel et outillage industriels
2318,Autres immobilisations corporelles
232,Immobilisations incorporelles en cours 
237,Avances et acomptes versés sur commandes d'immobilisations incorporelles
2382,Terrains
2383,Constructions
2385,Installations techniques matériel et outillage industriels
2388,Autres immobilisations corporelles
2611,Actions
2618,Autres titres
262,Titres évalués par équivalence
266,Autres formes de participation
2671,Créances rattachées à des participations (groupe)
2674,Créances rattachées à des participations (hors groupe)
2675,Versements représentatifs d'apports non capitalisés (appel de fonds)
2676,Avances consolidables
2677,Autres créances rattachées à des participations 
2678,Intérêts courus
2681,Principal
2688,Intérêts courus
269,Versements restant à effectuer sur titres de participation non libérés
2711,Actions
2718,Autres titres
2721,Obligations
2722,Bons
273,Titres immobilisés de l'activité de portefeuille (TIAP)
2741,Prêts participatifs
2742,Prêts aux associés
2743,Prêts au personnel
2748,Autres prêts
2751,Dépôts
2755,Cautionnements
2761,Créances diverses
27682,Sur titres immobilisés (droits de créance)
27684,Sur prêts
27685,Sur dépôts et cautionnements
27688,Sur créances diverses
2771,Actions propres ou parts propres
2772,Actions propres ou parts propres en voie d'annulation
279,Versements restant à effectuer sur titres immobilisés non libérés
2801,Frais d'établissement (même ventilation que celle du compte 201) 
2803,Frais de recherche et de développement 
2805,"Concessions et droits similaires, brevets, licences, logiciels, droits et valeurs similaires"
2807,Fonds commercial
2808,Autres immobilisations incorporelles
2811,Terrains de gisement
2812,Agencements aménagements de terrains (même ventilation que celle du compte 212)
2813,Constructions (même ventilation que celle du compte 213)
2814,Constructions sur sol d'autrui (même ventilation que celle du compte 214)
2815,Installations matériel et outillage industriels (même ventilation que celle du compte 215)
2818,Autres immobilisations corporelles (même ventilation que celle du compte 218)
282,Amortissements des immobilisations mises en concession
2905,"Marques, procédés, droits et valeurs similaires"
2906,Droit au bail
2907,Fonds commercial
2908,Autres immobilisations incorporelles
2911,Terrains (autres que terrains de gisement)
292,Dépréciations des immobilisations mises en concession
2931,Immobilisations corporelles en cours
2932,Immobilisations incorporelles en cours
2961,Titres de participation
2966,Autres formes de participation
2967,Créances rattachées à des participations (même ventilation que celle du compte 267)
2968,Créances rattachées à des sociétés en participation (même ventilation que celle du compte 268)
2971,Titres immobilisés autres que les titres immobilisés de l'activité de portefeuille - droit de propriété (ventilation : 271)
2972,Titres immobilisés - droit de créance (même ventilation que celle du compte 272) 
2973,Titres immobilisés de l'activité de portefeuille
2974,Prêts (même ventilation que celle du compte 274)
2975,Dépôts et cautionnements versés (même ventilation que celle du compte 275)
2976,Autres créances immobilisées (même ventilation que celle du compte 276)
311,Matière (ou groupe) A
312,Matière (ou groupe) B
317,"Fournitures A, B, C, .."
3211,Matière (ou groupe) C
3212,Matière (ou groupe) D
3221,Combustibles
3222,Produits d'entretien
3223,Fournitures d'atelier et d usine
3224,Fournitures de magasin
3225,Fournitures de bureau
3261,Emballages perdus
3265,Emballages récupérables non identifiables
3267,Emballages à usage mixte
3311,Produit en cours P 1
3312,Produit en cours P 2
3351,Travaux en cours T 1
3352,Travaux en cours T 2
3411,Études en cours E 1
3412,Études en cours E 2
3451,Prestations de services S 1
3452,Prestations de services S 2
3511,Produits intermédiaires (ou groupe) A 
3512,Produits intermédiaires (ou groupe) B
3551,Produits finis (ou groupe) A
3552,Produits finis (ou groupe) B
3581,Déchets
3585,Rebuts
3586,Matières de récupération
371,Marchandises (ou groupe) A
372,Marchandises (ou groupe) B
3911,Matières (ou groupe) A
3912,Matières (ou groupe) B
3917,"Fournitures A, B, C, .."
3921,Matières consommables (même ventilation que celle du compte 321)
3922,Fournitures consommables (même ventilation que celle du compte 322)
3926,Emballages (même ventilation que celle du compte 326)
3931,Produits en cours (même ventilation que celle du compte 331)
3935,Travaux en cours (même ventilation que celle du compte 335)
3941,Études en cours (même ventilation que celle du compte 341)
3945,Prestations de services en cours (même ventilation que celle du compte 345)
3951,Produits intermédiaires (même ventilation que celle du compte 351)
3955,Produits finis (même ventilation que celle du compte 355)
3971,Marchandises (ou groupe) A
3972,Marchandises (ou groupe) B
400,Fournisseurs et comptes rattachés 
4011,Fournisseurs - Achats de biens et prestations de services
4017,Fournisseurs - Retenues de garantie
403,Fournisseurs - Effets à payer
4041,Fournisseurs - Achats d'immobilisations
4047,Fournisseurs d'immobilisations - Retenues de garantie
405,Fournisseurs d'immobilisations - Effets à payer
4081,Fournisseurs
4084,Fournisseurs d'immobilisations 
4088,Fournisseurs - Intérêts courus
4091,Fournisseurs - Avances et acomptes versés sur commandes
4096,Fournisseurs - Créances pour emballages et matériel à rendre
40971,Fournisseurs d'exploitation
40974,Fournisseurs d'immobilisations
4098,"Rabais, remises, ristournes à obtenir et autres avoirs non encore reçus"
410,Clients et comptes rattachés 
4111,Clients - Ventes de biens ou de prestations de services
4117,Clients - Retenues de garantie
413,Clients - Effets à recevoir
416,Clients douteux ou litigieux
4181,Clients - Factures à établir 
4188,Clients - Intérêts courus
4191,Clients - Avances et acomptes reçus sur commandes
4196,Clients - Dettes pour emballages et matériels consignés 
4197,Clients - Autres avoirs 
4198,"Rabais, remises, ristournes à accorder et autres avoirs à établir"
421,Personnel - Rémunérations dues
422,Comités d'entreprise d'établissement 
4246,Réserve spéciale
4248,Comptes courants
425,Personnel - Avances et acomptes
426,Personnel - Dépôts
427,Personnel - Oppositions
4282,Dettes provisionnées pour congés à payer
4284,Dettes provisionnées pour participation des salariés aux résultats
